CountryName,CountryCode,Indicator Name,Indicator Code,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,,
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,,
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.90992219,48.80981792,48.70971364,48.60960937,48.50950509,48.40940082,48.30929654,48.20919227,48.10908799,48.00898372,47.90887944,47.80877517,47.70867089,47.60856662,47.50846234,47.40835807,47.30825379,47.20814951,47.10804524,47.00794096,46.90783669,46.80773241,46.70762814,46.60752386,46.50741959,46.40731531,,
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78832117,28.71715328,28.6459854,28.57481752,28.50364964,28.43248175,28.36131387,28.29014599,28.2189781,28.14781022,28.07664234,28.17226277,28.26788321,28.36350365,28.45912409,28.55474453,28.51021898,28.46569343,28.42116788,28.37664234,28.33211679,28.29708029,28.2620438,28.2270073,28.1919708,28.15693431,,
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,,
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.684247883,3.667273415,3.650293588,3.633319145,3.616344702,3.599370259,3.582395816,3.565421373,3.548446929,3.53147322,3.514498043,3.50255369,3.490607869,3.478708742,3.466765308,3.454818252,3.447218566,3.439630514,3.432043536,3.425091571,3.417508461,2.874203607,2.8563223,2.838441627,2.820560539,2.802679869,,
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93062201,3.008373206,3.086124402,3.163875598,3.241626794,3.31937799,3.397129187,3.474880383,3.552631579,3.630382775,3.708133971,3.71291866,3.717703349,3.722488038,3.727272727,3.732057416,3.744736842,3.757416268,3.770095694,3.78277512,3.795454545,3.808133971,3.820813397,3.833492823,3.846172249,3.858851675,,
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7135335,12.60636024,12.49918697,12.39201371,12.28484045,12.17766718,12.07049392,11.96332065,11.85614739,11.74897413,11.64180086,11.51946329,11.39712572,11.27478816,11.15245059,11.03011302,10.91391425,10.79771549,10.68151672,10.56531796,10.44911919,10.34066701,10.23221483,10.12376265,10.01531047,9.906858285,,
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76677204,11.75272216,11.75272216,11.74569723,11.73867229,11.73164735,11.72462241,11.71759747,11.71057253,11.70354759,11.69652266,11.68949772,11.68247278,11.67544784,11.6684229,11.66139796,11.65437302,11.64734809,11.64032315,11.63329821,11.62627327,11.63329821,11.64032315,11.64734809,11.65437302,11.66139796,,
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.95,91.75,91.6,91.45,91.25,91.1,90.95,90.75,90.6,90.4,90.25,90.1,89.9,89.75,89.55,89.4,89.25,89.05,88.9,88.75,88.55,88.4,88.2,88.05,87.9,87.7,,
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.40909091,23.34090909,23.27272727,23.20454545,23.13636364,23.06818182,23,22.93181818,22.86363636,22.79545455,22.72727273,22.63636364,22.54545455,22.45454545,22.36363636,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,,
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.73209846,16.73600354,16.73990862,16.7438137,16.74771878,16.75162386,16.75552894,16.75943402,16.7633391,16.76724418,16.77114927,16.73990862,16.70866798,16.67742733,16.64618669,16.61494604,16.499616,16.38428596,16.26895591,16.15362587,16.03829582,16.07838798,16.11848014,16.1585723,16.19866446,16.23875662,,
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.72535723,45.80043594,45.87551465,45.95059336,46.02567208,46.10075079,46.1758295,46.25090821,46.32598692,46.40106563,46.47614434,46.50762897,46.53911359,46.57059821,46.60208283,46.63356745,46.6553645,46.67829204,46.70008961,46.72188719,46.74764748,46.77511174,46.80088185,46.83573445,46.86208693,46.88389903,,
